Page,Phrase
7,"Horn–Designed for the vehicle, in proper working condition, and loud enough to be heard from a distance of at least {200} feet"
13,You should signal At least {100} feet before you turn
13,Use your horn to: Alert oncoming traffic on narrow mountain roads where you cannot see at least {200} feet ahead.
13,Dim your high-beam headlights to low beams within {500} feet of a vehicle coming toward you or within {300} feet of a vehicle you are following
13,Use your headlights When it is too dark to see from {1000} feet away
15,Two sets of solid double yellow lines spaced {2} or more feet apart are considered a barrier
18,You may only drive for {200} feet in the center left turn lane
19,It is illegal to drive in a bicycle lane unless you are Turning (within {200} feet of an intersection)
20,You can drive in a bike lane within {200} feet from the turn
20,Start signaling about {100} feet before the turn.
21,Enter a two-way center left turn lane within {200} feet of the turn
21,Start signaling {100} feet before the turn
22,You may make a U-turn In a residential district if no vehicles are approaching you within {200} feet
22,Nev make a U-turn When you cannot see clearly for {200} feet in each direction
25,"To exit a highway safely When in the proper lane, signal five seconds (approximately {400} feet) before you exit"
26,"To merge, enter, or exit traffic, you need a space that is Half a block on city streets, which is about {150} feet."
26,"To merge, enter, or exit traffic, you need a space that is A full block on the highway, which is about {300} feet."
26,"Do not pass Within {100} feet of an intersection, bridge, tunnel, railroad crossing, or other hazardous area "
28,To parallel park: Look for a space at least {3} feet longer than your vehicle
28,To parallel park: Leave about {2] feet between your vehicle and the vehicle next to you
29,To back up in a straight line: Back in a straight line for {3} vehicle lengths while remaining within {3} feet of the curb
30,Never park or leave your vehicle within {3} feet of a sidewalk ramp for disabled persons
30,Never park or leave your vehicle within {15} feet of a fire hydrant or fire station driveway
44,The average passenger vehicle traveling at {55} mph can stop within {300} feet
44,A large vehcile traveling at {55} mph can take up to {400} feet to stop
47,"It is against the law to follow within {300} feet of any fire engine, law enforcement vehicle, ambulance, or other emergency vehicle when their siren or flashing lights are on."
49,Your bicycle must have the following equipment: A front lamp with a white light visible from {300} feet
49,"Your bicycle must have the following equipment: A built-in rear red reflector, solid red light, or flashing red light.  This must be visible from {500} feet"
49,"Your bicycle must have the following equipment: A white or yellow reflector on each pedla, the bicyclist's shoes, or their ankels.  These must be visible from {200} feet"
50,"When you cannot change lanes to pass a bicyclist, allow at least {3} feet between your vehicle and the bicyclist."
50,"If you cannot give {3} feet of space between you and the cylist, do not pass the cyclist until {3} feet of clearance can be given"
50,Enter a bike lane no more than {200} feet before starting a turn
52,The speed limit is {25} mph within {500} feet of a school while children are outside or crossing the street
53,An alley is any road no wider than {25} feet
53,The speed limit is {15} mph within {100} feet of a railroad crossing and you cannot see the tracks for {400} feet in both directions
